"""","事業所数","従業者数(人)","売上(収入)金額(百万円)"
"A～R_全産業(S公務を除く)","41655.0","319674.0","…"
"A_農業，林業","144.0","1983.0","26215.0"
"01_農業","100.0","1228.0","22950.0"
"02_林業","44.0","755.0","3266.0"
"","","",""
"B_漁業","46.0","527.0","5092.0"
"03_漁業（水産養殖業を除く）","11.0","169.0","940.0"
"04_水産養殖業","35.0","358.0","4152.0"
"","","",""
"_農業，林業，漁業 間格付不能","7.0","18.0","107.0"
"","","",""
"C_鉱業，採石業，砂利採取業","9.0","105.0","2706.0"
"05_鉱業，採石業，砂利採取業","9.0","105.0","2706.0"
"","","",""
"D_建設業(注)","4047.0","24092.0","…"
"06_総合工事業","2041.0","13620.0","…"
"07_職別工事業（設備工事業を除く）","1078.0","3952.0","…"
"08_設備工事業","864.0","6233.0","…"
"DZ_建設業 内格付不能","64.0","287.0","…"
"","","",""
"E_製造業","3877.0","57626.0","3012528.0"
"09_食料品製造業","697.0","9886.0","136352.0"
"10_飲料・たばこ・飼料製造業","61.0","1443.0","65173.0"
"11_繊維工業","659.0","5641.0","76485.0"
"12_木材・木製品製造業（家具を除く）","253.0","1677.0","34750.0"
"13_家具・装備品製造業","340.0","1910.0","19264.0"
"14_パルプ・紙・紙加工品製造業","57.0","806.0","20486.0"
"15_印刷・同関連業","195.0","1891.0","18700.0"
"16_化学工業","104.0","4915.0","323649.0"
"17_石油製品・石炭製品製造業","21.0","1032.0","774584.0"
"18_プラスチック製品製造業","127.0","2049.0","47915.0"
"19_ゴム製品製造業","21.0","1148.0","18914.0"
"20_なめし革・同製品・毛皮製造業","24.0","162.0","1569.0"
"21_窯業・土石製品製造業","141.0","1528.0","48222.0"
"22_鉄鋼業","72.0","4000.0","877502.0"
"23_非鉄金属製造業","16.0","512.0","38217.0"
"24_金属製品製造業","303.0","4374.0","94985.0"
"25_はん用機械器具製造業","78.0","2485.0","200595.0"
"26_生産用機械器具製造業","187.0","3888.0","87446.0"
"27_業務用機械器具製造業","24.0","1213.0","18807.0"
"28_電子部品・デバイス・電子回路製造業","17.0","954.0","14178.0"
"29_電気機械器具製造業","60.0","1810.0","44410.0"
"30_情報通信機械器具製造業","6.0","324.0","2608.0"
"31_輸送用機械器具製造業","63.0","862.0","15609.0"
"32_その他の製造業","320.0","2179.0","25559.0"
"EZ_製造業 内格付不能","31.0","937.0","6549.0"
"","","",""
"F_電気・ガス・熱供給・水道業(注)","31.0","1590.0","…"
"33_電気業","21.0","1458.0","…"
"34_ガス業","2.0","93.0","…"
"35_熱供給業","1.0","3.0","…"
"36_水道業","7.0","36.0","…"
"FZ_電気・ガス・熱供給・水道業 内格付不能","-","-","…"
"","","",""
"G_情報通信業","228.0","2907.0","…"
"37_通信業(注)","30.0","406.0","…"
"38_放送業(注)","16.0","324.0","…"
"39_情報サービス業","106.0","1492.0","13885.0"
"40_インターネット附随サービス業","7.0","56.0","748.0"
"41_映像・音声・文字情報制作業(注)","66.0","601.0","…"
"G1_通信業，放送業，映像・音声・文字情報制作業 内格付不能(注)","3.0","28.0","…"
"G2_情報サービス業，インターネット附随サービス業 内格付不能","-","-","-"
"","","",""
"H_運輸業，郵便業(注)","837.0","17547.0","…"
"42_鉄道業","35.0","1539.0","…"
"43_道路旅客運送業","108.0","2478.0","…"
"44_道路貨物運送業","486.0","9040.0","…"
"45_水運業","35.0","253.0","…"
"46_航空運輸業","1.0","3.0","…"
"47_倉庫業","38.0","890.0","…"
"48_運輸に附帯するサービス業","73.0","1149.0","…"
"49_郵便業（信書便事業を含む）","50.0","2046.0","…"
"HZ_運輸業，郵便業 内格付不能","11.0","149.0","…"
"","","",""
"I_卸売業，小売業","11768.0","70284.0","1838436.0"
"50_各種商品卸売業","9.0","62.0","2099.0"
"51_繊維・衣服等卸売業","94.0","699.0","30366.0"
